time,open,high,low,close,volume
2026-01-15 23:25:00,4614.03,4615.56,4613.65,4614.25,690
2026-01-15 23:30:00,4614.29,4615.49,4614.21,4615.44,496
2026-01-15 23:35:00,4615.25,4615.56,4613.71,4613.74,559
2026-01-15 23:40:00,4613.72,4615.71,4613.6,4615.69,527
2026-01-15 23:45:00,4615.71,4616.37,4614.63,4614.87,621
2026-01-15 23:50:00,4614.8,4615.7,4613.65,4615.23,372
2026-01-15 23:55:00,4615.01,4617.36,4614.62,4617.3,495
2026-01-16 01:00:00,4616.68,4619.64,4616.55,4618.69,577
2026-01-16 01:05:00,4618.78,4620.78,4616.79,4618.96,481
2026-01-16 01:10:00,4618.95,4619.39,4613.74,4614.16,571
2026-01-16 01:15:00,4614.15,4615.19,4612.78,4613.6,1048
2026-01-16 01:20:00,4613.54,4614.86,4611.8,4612.31,619
2026-01-16 01:25:00,4612.36,4613.09,4608.87,4609.05,908
2026-01-16 01:30:00,4609.11,4611.18,4607.32,4607.77,1116
2026-01-16 01:35:00,4607.76,4611.02,4607.49,4608.98,766
2026-01-16 01:40:00,4608.94,4610.02,4607.11,4608.29,663
2026-01-16 01:45:00,4608.28,4608.56,4606.43,4606.76,894
2026-01-16 01:50:00,4606.71,4608.3,4606.48,4608.09,652
2026-01-16 01:55:00,4608.15,4610.85,4607.28,4610.34,697
2026-01-16 02:00:00,4610.29,4610.35,4606.21,4606.81,888
2026-01-16 02:05:00,4606.82,4608.33,4603.32,4605.03,760
2026-01-16 02:10:00,4605.01,4606.74,4604.82,4605.86,556
2026-01-16 02:15:00,4605.92,4610.11,4605.43,4608.27,689
2026-01-16 02:20:00,4608.28,4611.32,4606.43,4606.65,708
2026-01-16 02:25:00,4606.64,4607.96,4606.26,4607.73,606
2026-01-16 02:30:00,4607.81,4608.14,4602.34,4603.89,993
2026-01-16 02:35:00,4603.88,4604.16,4601.78,4603.01,1713
2026-01-16 02:40:00,4603.03,4603.89,4601.17,4601.39,1799
2026-01-16 02:45:00,4601.45,4601.78,4599.97,4600.98,1373
2026-01-16 02:50:00,4600.99,4600.99,4598.53,4599.78,943
2026-01-16 02:55:00,4599.9,4601.94,4599.8,4600.0,1462
2026-01-16 03:00:00,4599.99,4600.11,4593.98,4599.09,2190
2026-01-16 03:05:00,4599.11,4604.29,4596.17,4604.22,1976
2026-01-16 03:10:00,4604.01,4605.01,4600.78,4603.75,1969
2026-01-16 03:15:00,4603.77,4605.14,4599.92,4603.18,1535
2026-01-16 03:20:00,4603.19,4604.89,4602.0,4604.89,1436
2026-01-16 03:25:00,4604.81,4607.34,4603.41,4606.04,1824
2026-01-16 03:30:00,4606.01,4607.51,4601.56,4602.14,1542
2026-01-16 03:35:00,4602.17,4607.35,4601.81,4605.62,1366
2026-01-16 03:40:00,4605.56,4608.52,4604.85,4605.23,1545
2026-01-16 03:45:00,4605.25,4605.46,4602.47,4602.97,1571
2026-01-16 03:50:00,4602.86,4604.39,4600.32,4601.6,1575
2026-01-16 03:55:00,4601.53,4602.94,4599.2,4600.59,1558
2026-01-16 04:00:00,4600.57,4603.64,4598.8,4600.82,1778
2026-01-16 04:05:00,4601.01,4603.6,4599.84,4603.38,1507
2026-01-16 04:10:00,4603.15,4603.15,4597.58,4598.2,1631
2026-01-16 04:15:00,4598.27,4603.02,4596.9,4601.38,1326
2026-01-16 04:20:00,4601.33,4604.31,4600.98,4603.23,1407
2026-01-16 04:25:00,4603.2,4603.66,4599.05,4600.1,1231
2026-01-16 04:30:00,4600.03,4600.98,4594.09,4594.6,1963
2026-01-16 04:35:00,4594.63,4595.46,4591.38,4594.64,2227
2026-01-16 04:40:00,4594.41,4596.04,4594.09,4595.93,1700
2026-01-16 04:45:00,4595.96,4598.51,4594.92,4596.42,1700
2026-01-16 04:50:00,4596.39,4598.32,4592.51,4592.51,1554
2026-01-16 04:55:00,4592.53,4595.2,4591.9,4594.98,1466
2026-01-16 05:00:00,4594.99,4598.22,4594.48,4597.13,1539
2026-01-16 05:05:00,4597.01,4599.22,4596.02,4598.31,1515
2026-01-16 05:10:00,4598.38,4599.36,4597.88,4598.61,1373
2026-01-16 05:15:00,4598.77,4599.73,4597.71,4598.64,1359
2026-01-16 05:20:00,4598.65,4599.17,4596.07,4597.15,1339
2026-01-16 05:25:00,4597.08,4597.71,4595.26,4595.58,1071
2026-01-16 05:30:00,4595.53,4596.13,4592.85,4593.19,1065
2026-01-16 05:35:00,4593.18,4596.99,4592.95,4596.93,779
2026-01-16 05:40:00,4596.94,4597.43,4595.67,4596.29,681
